FACILITY,SampleDate,Time,BuildingCode,SPCODE,LGT,AdClip,Size_Run,DNA_Run,CWT_Run,CATCH,Salvage,LOSS
2,12/4/2024,2:00,F,1,155,C,LF,,LF,1,4,2.6
2,12/4/2024,2:00,F,1,155,C,LF,,LF,1,4,2.6
2,12/4/2024,2:00,F,1,156,C,LF,,LF,1,4,2.6
2,12/4/2024,2:00,F,1,160,C,LF,,LF,1,4,2.6
2,12/4/2024,2:00,F,1,160,C,LF,,LF,1,4,2.6
2,12/4/2024,2:00,F,1,160,C,LF,,,1,4,2.6
2,12/4/2024,2:00,F,1,164,C,LF,,LF,1,4,2.6
2,12/4/2024,2:00,F,1,164,C,LF,,LF,1,4,2.6
2,12/4/2024,2:00,F,1,165,C,LF,,LF,1,4,2.6
2,12/4/2024,2:00,F,1,169,C,F,,LF,1,4,2.6
2,12/4/2024,2:00,F,1,169,C,F,,LF,1,4,2.6
2,12/4/2024,2:00,F,1,178,C,F,,LF,1,4,2.6
2,12/4/2024,2:00,F,1,184,C,F,,LF,1,4,2.6
2,12/4/2024,4:00,F,1,151,C,LF,,LF,1,4,2.6
2,12/4/2024,4:00,F,1,151,N,LF,LF,,1,4,2.6
2,12/4/2024,4:00,F,1,161,N,LF,F,,1,4,2.6
2,12/4/2024,4:00,F,1,171,C,F,,,1,4,2.6
2,12/4/2024,6:00,F,1,155,C,LF,,LF,1,4,2.6
2,12/4/2024,6:00,F,1,166,C,LF,,LF,1,4,2.6
2,12/4/2024,6:00,F,1,176,C,F,,LF,1,4,2.6
2,12/4/2024,6:00,F,1,185,C,F,,LF,1,4,2.6
2,12/4/2024,6:00,F,1,188,C,F,,LF,1,4,2.6
2,12/4/2024,8:00,F,1,141,C,LF,,LF,1,4,2.6
2,12/4/2024,10:00,F,1,138,C,LF,,LF,1,4,2.6
2,12/4/2024,10:00,F,1,161,C,LF,,LF,1,4,2.6
2,12/4/2024,10:00,F,1,171,C,F,,LF,1,4,2.6
2,12/4/2024,10:00,F,1,171,C,F,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,133,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,133,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,133,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,136,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,137,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,138,N,LF,F,,1,4,2.6
2,12/4/2024,12:00,F,1,142,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,143,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,147,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,150,N,LF,LF,,1,4,2.6
2,12/4/2024,12:00,F,1,151,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,152,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,154,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,155,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,155,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,158,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,160,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,160,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,161,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,162,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,162,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,163,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,163,C,LF,,,1,4,2.6
2,12/4/2024,12:00,F,1,163,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,164,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,166,C,LF,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,168,C,F,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,173,C,F,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,176,C,F,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,182,C,F,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,184,C,F,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,185,C,F,,LF,1,4,2.6
2,12/4/2024,12:00,F,1,195,C,F,,LF,1,4,2.6
